year,month,lesserSpottedDogfish,redMullet,pouting,whiting,poorCod,cod,dragonet,sole,plaice,horseMackerel,mackerel,herring,sardine,squids,cuttlefish,thornbackRay
2002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22
2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,5,NA,NA,NA,NA,NA,1638,NA,NA,NA,NA,22983,NA,NA,NA,NA,NA
2002,6,NA,NA,NA,50804,NA,NA,NA,15823,11251,NA,NA,NA,NA,NA,NA,NA
2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,8,NA,151.74,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA,NA,NA
2002,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215680,NA,NA,NA,NA
2002,10,NA,NA,5989512,NA,3818271,NA,1560389,NA,NA,NA,NA,NA,NA,5181046,2556526,NA
2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22
2003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,5,NA,NA,NA,NA,NA,2610,NA,NA,NA,NA,31362,NA,NA,NA,NA,NA
2003,6,NA,NA,NA,56050,NA,NA,NA,18608,11272,NA,NA,NA,NA,NA,NA,NA
2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,8,NA,269.3,NA,NA,NA,NA,NA,NA,NA,0.289,NA,NA,NA,NA,NA,NA
2003,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236346,NA,NA,NA,NA
2003,10,NA,NA,16748756,NA,9264205,NA,662965,NA,NA,NA,NA,NA,NA,8671069,1254795,NA
2003,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23
2004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,5,NA,NA,NA,NA,NA,1361,NA,NA,NA,NA,38741,NA,NA,NA,NA,NA
2004,6,NA,NA,NA,47060,NA,NA,NA,14770,12044,NA,NA,NA,NA,NA,NA,NA
2004,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,8,0.59,299.86,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA
2004,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200642,NA,NA,NA,NA
2004,10,NA,NA,4834197,NA,3905278,NA,688121,NA,NA,NA,NA,NA,NA,4461185,2055412,NA
2004,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24
2005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,5,NA,NA,NA,NA,NA,1754,NA,NA,NA,NA,30531,NA,NA,NA,NA,NA
2005,6,NA,NA,NA,40029,NA,NA,NA,15233,12286,NA,NA,NA,NA,NA,NA,NA
2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,8,0.64,147.44,NA,NA,NA,NA,NA,NA,NA,0.657,NA,NA,NA,NA,NA,NA
2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192069,NA,NA,NA,NA
2005,10,NA,NA,9275597,NA,4724580,NA,501246,NA,NA,NA,NA,NA,NA,4993143,1127631,NA
2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25
2006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,5,NA,NA,NA,NA,NA,2191,NA,NA,NA,NA,31549,NA,NA,NA,NA,NA
2006,6,NA,NA,NA,22295,NA,NA,NA,15003,12534,NA,NA,NA,NA,NA,NA,NA
2006,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,8,0.58,190.78,NA,NA,NA,NA,NA,NA,NA,0.694,NA,NA,NA,NA,NA,NA
2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153561,NA,NA,NA,NA
2006,10,NA,NA,20190908,NA,3371730,NA,700307,NA,NA,NA,NA,NA,NA,3811579,2197183,NA
2006,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27
2007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,5,NA,NA,NA,NA,NA,4658,NA,NA,NA,NA,20959,NA,NA,NA,NA,NA
2007,6,NA,NA,NA,18723,NA,NA,NA,15238,12675,NA,NA,NA,NA,NA,NA,NA
2007,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,8,0.79,611.74,NA,NA,NA,NA,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA
2007,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107023,NA,NA,NA,NA
2007,10,NA,NA,8837251,NA,3933821,NA,841703,NA,NA,NA,NA,NA,NA,3356596,1626979,NA
2007,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,NA,NA,NA,NA,NA,4814,NA,NA,NA,NA,18156,NA,NA,NA,NA,NA
2008,6,NA,NA,NA,27785,NA,NA,NA,15192,12739,NA,NA,NA,NA,NA,NA,NA
2008,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,0.8,76.13,NA,NA,NA,NA,NA,NA,NA,0.164,NA,NA,NA,NA,NA,NA
2008,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140842,NA,NA,NA,NA
2008,10,NA,NA,3483425,NA,2960343,NA,790005,NA,NA,NA,NA,NA,NA,2702150,795382,NA
2008,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33
2009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,5,NA,NA,NA,NA,NA,4754,NA,NA,NA,NA,28468,NA,NA,NA,NA,NA
2009,6,NA,NA,NA,37540,NA,NA,NA,14786,13446,NA,NA,NA,NA,NA,NA,NA
2009,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,8,0.74,126.18,NA,NA,NA,NA,NA,NA,NA,0.098,NA,NA,NA,NA,NA,NA
2009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185814,NA,NA,NA,NA
2009,10,NA,NA,10203669,NA,1202383,NA,785948,NA,NA,NA,NA,NA,NA,8410351,1028985,NA
2009,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37
2010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,5,NA,NA,NA,NA,NA,3903,NA,NA,NA,NA,24230,NA,NA,NA,NA,NA
2010,6,NA,NA,NA,51228,NA,NA,NA,14576,15427,NA,NA,NA,NA,NA,NA,NA
2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,8,0.86,82.6,NA,NA,NA,NA,NA,NA,NA,0.195,NA,NA,NA,NA,NA,NA
2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212085,NA,NA,NA,NA
2010,10,NA,NA,2977525,NA,2135694,NA,706073,NA,NA,NA,NA,NA,NA,3565735,971573,NA
2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41
2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,5,NA,NA,NA,NA,NA,3572,NA,NA,NA,NA,32944,NA,NA,NA,NA,NA
2011,6,NA,NA,NA,38269,NA,NA,NA,15329,21102,NA,NA,NA,NA,NA,NA,NA
2011,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,8,0.83,49.29,NA,NA,NA,NA,NA,NA,NA,0.233,NA,NA,NA,NA,NA,NA
2011,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244223,NA,NA,NA,NA
2011,10,NA,NA,2592326,NA,1671329,NA,529600,NA,NA,NA,NA,NA,NA,3711548,306712,NA
2011,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46
2012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,5,NA,NA,NA,NA,NA,3081,NA,NA,NA,NA,26781,NA,NA,NA,NA,NA
2012,6,NA,NA,NA,36458,NA,NA,NA,15886,31553,NA,NA,NA,NA,NA,NA,NA
2012,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,8,0.99,36.64,NA,NA,NA,NA,NA,NA,NA,0.152,NA,NA,NA,NA,NA,NA
2012,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189704,NA,NA,NA,NA
2012,10,NA,NA,2204889,NA,2363161,NA,546639,NA,NA,NA,NA,NA,NA,3313601,991755,NA
2012,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54
2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,5,NA,NA,NA,NA,NA,2932,NA,NA,NA,NA,26724,NA,NA,NA,NA,NA
2013,6,NA,NA,NA,32018,NA,NA,NA,17526,42367,NA,NA,NA,NA,NA,NA,NA
2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,8,1.23,22.63,NA,NA,NA,NA,NA,NA,NA,0.188,NA,NA,NA,NA,NA,NA
2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174564,NA,NA,NA,NA
2013,10,NA,NA,14887517,NA,1911936,NA,387762,NA,NA,NA,NA,NA,NA,3872515,439460,NA
2013,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61
2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
